date,state,admitted_covid
13-09-22,W.P. Kuala Lumpur,10
13-09-22,W.P. Labuan,2
13-09-22,W.P. Putrajaya,12
14-09-22,Johor,19
14-09-22,Kedah,24
14-09-22,Kelantan,20
14-09-22,Melaka,11
14-09-22,Negeri Sembilan,10
14-09-22,Pahang,14
14-09-22,Perak,41
14-09-22,Perlis,5
14-09-22,Pulau Pinang,9
14-09-22,Sabah,23
14-09-22,Sarawak,10
14-09-22,Selangor,54
14-09-22,Terengganu,7
14-09-22,W.P. Kuala Lumpur,13
14-09-22,W.P. Labuan,0
14-09-22,W.P. Putrajaya,10
15-09-22,Johor,36
15-09-22,Kedah,16
15-09-22,Kelantan,21
15-09-22,Melaka,7
15-09-22,Negeri Sembilan,9
15-09-22,Pahang,15
15-09-22,Perak,30
15-09-22,Perlis,6
15-09-22,Pulau Pinang,22
15-09-22,Sabah,21
15-09-22,Sarawak,12
15-09-22,Selangor,51
15-09-22,Terengganu,2
15-09-22,W.P. Kuala Lumpur,15
15-09-22,W.P. Labuan,0
15-09-22,W.P. Putrajaya,9
16-09-22,Johor,30
16-09-22,Kedah,14
16-09-22,Kelantan,19
16-09-22,Melaka,13
16-09-22,Negeri Sembilan,15
16-09-22,Pahang,10
16-09-22,Perak,29
16-09-22,Perlis,1
16-09-22,Pulau Pinang,13
16-09-22,Sabah,22
16-09-22,Sarawak,20
16-09-22,Selangor,41
16-09-22,Terengganu,7
16-09-22,W.P. Kuala Lumpur,15
16-09-22,W.P. Labuan,1
16-09-22,W.P. Putrajaya,8
17-09-22,Johor,23
17-09-22,Kedah,13
17-09-22,Kelantan,9
17-09-22,Melaka,12
17-09-22,Negeri Sembilan,4
17-09-22,Pahang,6
17-09-22,Perak,20
17-09-22,Perlis,2
17-09-22,Pulau Pinang,12
17-09-22,Sabah,25
17-09-22,Sarawak,13
17-09-22,Selangor,46
17-09-22,Terengganu,4
17-09-22,W.P. Kuala Lumpur,8
17-09-22,W.P. Labuan,0
17-09-22,W.P. Putrajaya,7
18-09-22,Johor,16
18-09-22,Kedah,13
18-09-22,Kelantan,16
18-09-22,Melaka,3
18-09-22,Negeri Sembilan,5
18-09-22,Pahang,9
18-09-22,Perak,20
18-09-22,Perlis,2
18-09-22,Pulau Pinang,12
18-09-22,Sabah,26
18-09-22,Sarawak,9
18-09-22,Selangor,33
18-09-22,Terengganu,7
18-09-22,W.P. Kuala Lumpur,9
18-09-22,W.P. Labuan,0
18-09-22,W.P. Putrajaya,9
19-09-22,Johor,12
19-09-22,Kedah,12
19-09-22,Kelantan,10
19-09-22,Melaka,6
19-09-22,Negeri Sembilan,5
19-09-22,Pahang,9
19-09-22,Perak,29
19-09-22,Perlis,3
19-09-22,Pulau Pinang,13
19-09-22,Sabah,16
19-09-22,Sarawak,7
19-09-22,Selangor,37
19-09-22,Terengganu,13
19-09-22,W.P. Kuala Lumpur,16
19-09-22,W.P. Labuan,0
19-09-22,W.P. Putrajaya,3
20-09-22,Johor,26
20-09-22,Kedah,26
20-09-22,Kelantan,18
20-09-22,Melaka,10
20-09-22,Negeri Sembilan,4
20-09-22,Pahang,8
20-09-22,Perak,32
20-09-22,Perlis,3
20-09-22,Pulau Pinang,12
20-09-22,Sabah,27
20-09-22,Sarawak,12
20-09-22,Selangor,41
20-09-22,Terengganu,12
20-09-22,W.P. Kuala Lumpur,12
20-09-22,W.P. Labuan,0
20-09-22,W.P. Putrajaya,7
21-09-22,Johor,28
21-09-22,Kedah,20
21-09-22,Kelantan,10
21-09-22,Melaka,14
21-09-22,Negeri Sembilan,8
21-09-22,Pahang,11
21-09-22,Perak,34
21-09-22,Perlis,2
21-09-22,Pulau Pinang,19
21-09-22,Sabah,25
21-09-22,Sarawak,10
21-09-22,Selangor,48
21-09-22,Terengganu,6
21-09-22,W.P. Kuala Lumpur,12
21-09-22,W.P. Labuan,0
21-09-22,W.P. Putrajaya,6
22-09-22,Johor,34
22-09-22,Kedah,16
22-09-22,Kelantan,9
22-09-22,Melaka,12
22-09-22,Negeri Sembilan,7
22-09-22,Pahang,11
22-09-22,Perak,31
22-09-22,Perlis,1
22-09-22,Pulau Pinang,12
22-09-22,Sabah,16
22-09-22,Sarawak,16
22-09-22,Selangor,44
22-09-22,Terengganu,8
22-09-22,W.P. Kuala Lumpur,21
22-09-22,W.P. Labuan,0
22-09-22,W.P. Putrajaya,3
23-09-22,Johor,24
23-09-22,Kedah,17
23-09-22,Kelantan,12
23-09-22,Melaka,16
23-09-22,Negeri Sembilan,9
23-09-22,Pahang,9
23-09-22,Perak,22
23-09-22,Perlis,4
23-09-22,Pulau Pinang,11
23-09-22,Sabah,12
23-09-22,Sarawak,17
23-09-22,Selangor,51
23-09-22,Terengganu,8
23-09-22,W.P. Kuala Lumpur,15
23-09-22,W.P. Labuan,0
23-09-22,W.P. Putrajaya,4
24-09-22,Johor,26
24-09-22,Kedah,11
24-09-22,Kelantan,2
24-09-22,Melaka,4
24-09-22,Negeri Sembilan,11
24-09-22,Pahang,7
24-09-22,Perak,30
24-09-22,Perlis,3
24-09-22,Pulau Pinang,12
24-09-22,Sabah,16
24-09-22,Sarawak,21
24-09-22,Selangor,52
24-09-22,Terengganu,9
24-09-22,W.P. Kuala Lumpur,7
24-09-22,W.P. Labuan,0
24-09-22,W.P. Putrajaya,7
25-09-22,Johor,21
25-09-22,Kedah,18
25-09-22,Kelantan,11
25-09-22,Melaka,5
25-09-22,Negeri Sembilan,1
25-09-22,Pahang,4
25-09-22,Perak,28
25-09-22,Perlis,4
25-09-22,Pulau Pinang,5
25-09-22,Sabah,17
25-09-22,Sarawak,13
25-09-22,Selangor,39
25-09-22,Terengganu,7
25-09-22,W.P. Kuala Lumpur,17
25-09-22,W.P. Labuan,0
25-09-22,W.P. Putrajaya,6
26-09-22,Johor,23
26-09-22,Kedah,18
26-09-22,Kelantan,11
26-09-22,Melaka,3
26-09-22,Negeri Sembilan,4
26-09-22,Pahang,5
26-09-22,Perak,19
26-09-22,Perlis,1
26-09-22,Pulau Pinang,8
26-09-22,Sabah,27
26-09-22,Sarawak,7
26-09-22,Selangor,34
26-09-22,Terengganu,15
26-09-22,W.P. Kuala Lumpur,10
26-09-22,W.P. Labuan,0
